ID,brand,NIC,owner,image
009873613,UNIKE JEWELLERY,14,"PLANET JEWELRY - ARTIGOS DE JOALHARIA, LDA",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7JUJY5I3FL2UYBIFPBUBJOWEWTM
009959255,è ALPHABETA KONTA STèN ELLèNIKè Gè,"29, 30, 31, 32, 33",Delhaize Le Lion/De Leeuw,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7LRQHZD7CLLLJJROJX7YOZENOEI
010032977,TK Techniker Krankenkasse Gesund in die Zukunft.,"36, 41, 44",Techniker Krankenkasse (TK),https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP3VAOGXK32MUOQNMPTR5R2WM5KYOQHQWIAAX4XVHMOX756VI6PLN4
010483444,"pace Parti des citoyens européens, AISBL - Partei der Europäischen Bürger/Bürgerinnen - Party of the Citizens of Europe Europæiske Borgeres Parti - Partido de los Ciudadanos Europeos ",45,"Parti des Citoyens Européens (PACE), AISBL",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP3VAOGXK32MUOQNMPTR5R2WM5KYMFI2EBFP4JY3YMGU77U4VIZ2L2
010616852,IK4 TEKNIKER Research Alliance,"9, 42",FUNDACION TEKNIKER,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP3VAOGXK32MUOQNMPTR5R2WM5KYND7SACRKXN7AY6O57MFLZVAVRO
010616928,NIKEFUEL,"9, 10, 14",NIKE Innovate C.V.,No Image
010687713,NIKE+ SPORT,"9, 25",NIKE Innovate C.V.,No Image
010687739,NIKE+ BASKETBALL,"9, 25",NIKE Innovate C.V.,No Image
010687788,NIKE+ TRAINING,"9, 25",NIKE Innovate C.V.,No Image
010807428,PANIKE MOMENTS DESDE 1986,30,Panike SA - Indústria de Produtos Ultracongelados SA,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP3VAOGXK32MUOQNMPTR5R2WM5KYDB5YN2OMJIQRHUZTOAWHAIIZCQ
010953362,NIKESKIN,25,NIKE Innovate C.V.,No Image
011003597,Unikliniken Köln,"16, 41, 44",Universitätsklinikum Köln Anstalt des öffentlichen Rechts des Landes NRW,No Image
011498862,NIKE TRACK CLUB,"18, 25, 35",NIKE Innovate C.V.,No Image
011529971,Miniket,7,Janser GmbH,No Image
011711272,WIENER SYMPHONIKER,"9, 16, 41",Wiener Symphoniker,No Image
012101689,NIKE,9,NIKE Innovate C.V.,No Image
012274098,FENIKEL,"6, 7, 12",Usui Kokusai Sangyo Kaisha,No Image
012600128,NIKE AEROLOFT,"18, 25, 35",NIKE Innovate C.V.,No Image
012930236,NIKE+ FUELCOACH,"9, 35, 38, 41, 42, 45",NIKE Innovate C.V.,No Image
013005434,PNIKER,"9, 12, 16, 18, 25, 28, 35, 38, 39, 41, 42",Thibault DE GHELLINK DELSEGHEM,No Image
013072988,NIKE AIR VAPORMAX,25,NIKE Innovate C.V.,No Image
013092465,NIKE CLEARANCE STORE,35,NIKE Innovate C.V.,No Image
013146725,NIKE AIR,"18, 25, 28",NIKE Innovate C.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP2D6IUAFWEL2LIF5UHRJ7XS3UJP5DUWYGPUOCZSMJKFM2GDO6MOMS
013176681,CHARL HEYNIKE,"14, 18, 20, 24, 25, 40",Charl Heynike,No Image
013265161,BERLINER PHILHARMONIKER,"9, 38, 41",Stiftung Berliner Philharmoniker,No Image
013463054,JENIKE &amp; JOHANSON,42,"Jenike &amp; Johanson Global, Inc.",No Image
013491758,NIKE AEROSHIELD,"18, 25, 35",NIKE Innovate C.V.,No Image
013725965,Kenike KIDS,"3, 18, 25","Guangzhou Qiyang Shoes Co., LTD.",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP2D6IUAFWEL2LIF5UHRJ7XS3UJPSOWGO7GDJRDMD3UM7OS5IETE2G
013784021,NIKE,31,"AGRUPACION SUNAMAR, S.L.",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP2D6IUAFWEL2LIF5UHRJ7XS3UJPQLGPNDJHXBQ5XATADKXHYEORSE
014296991,NIKE LUNAR,25,NIKE Innovate C.V.,No Image
014353247,NIKE ROSHE,25,NIKE Innovate C.V.,No Image
014433403,AIR HUARACHE BY NIKE,"18, 25, 35",NIKE Innovate C.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP22D5TH4HWBU7ERIQHFIMFEQUQOC2OG23FK26Z3IV3NVFPHPAFDOY
014840896,Wiener Philharmoniker 1842&nbsp; bePHILHARMONIC&nbsp; CONTEST 2016,"9, 16, 38, 41",Wiener Philharmoniker e.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP22D5TH4HWBU7ERIQHFIMFEQUQOD4GK27A3SFJIKUVNZ4AV7ADHSO
015100142,MINUTKLINIKEN,"9, 16, 35, 41, 42, 44",Apotek Hjärtat AB,No Image
015101066,minutkliniken,"9, 16, 35, 41, 42, 44",Apotek Hjärtat AB,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZ6UO3JD7WNBUUFWG4IW56GENJKUUHC2OD5YTGDKF3U6IIRB4NYNI
015171788,NTC Nike Training Club,"9, 25, 35, 41",NIKE Innovate C.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZ6UO3JD7WNBUUFWG4IW56GENJK2K4WP2K4ES3TCAXRKPW4FT3EK4
015214448,UNIKERIS,"5, 42, 44",Unikeris Limited,No Image
