ID,brand,NIC,owner,image
1416276,Apple Ch!ps,29,ThreeWorks Inc.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45I4NSU5244MCRJV6SNLKUBF57FM
1417663,WRAPPLES,"14, 28",MOOSE CREATIVE MANAGEMENT PTY LTD,No Image
1427335,We are the squidgy squad! Vanilla Cola Apple Raspberry Cherry Strawberry flavours,30,Rigo Trading S.A.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45I7UU475Z5ZMHXXN2OALSCJBRUE
1428355,Skinapple,3,YOU JI MAN,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45G24KTW2QSUGVFGF4V25R2QPKJA
1430156,PINEAPPLE GLOW,3,"Too Faced Cosmetics, LLC",No Image
1435800,Works with Apple Health,9,Apple Inc.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45OYOIXSMX3YJVLJGAYHHIRJKRLS
1445691,APPLE MUSIC FOR BUSINESS,"38, 41",Apple Inc.,No Image
1449088,APPLEHEART,"3, 18, 21",Crea Cosmetics Ltd,No Image
1450228,APPLE BUSINESS CHAT,38,Apple Inc.,No Image
1452932,Works with Apple Health,"38, 42, 44",Apple Inc.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45OXQQ6AAJXRUG5H5C474PYWUMIA
1466282,APPLE LIGHTNING,9,Apple Inc.,No Image
1470664,APPLE ORIGINALS,9,Apple Inc.,No Image
1480623,APPLE SEARCH ADS,35,Apple Inc.,No Image
1482759,AppleCraft,1,COMPOUND INNOVATIONS GMBH,No Image
1482790,"APPLE EDITION Made with superb Absolut Vodka 5% Apple Juice &amp; natural flavor. Inspired by the yellow, red &amp; gold days of the Swedish Fall. SPRING SUMMER FALL WINTER",33,The Absolut Company Aktiebolag,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45II5HOTNDCDHZ6BTOTYQ4VR35Z2
1485618,APPLE ORIGINALS,"38, 41",Apple Inc.,No Image
1486097,APPLE ARCADE,"35, 41",Apple Inc.,No Image
1492655,apple park,"25, 28","Apple Park, LLC",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYLCN54ZRSFUTCCRFRIWMU5DB45AGER776C7JDOP7LG3C4IDWPJL4
1493591,APPLE ARCADE,42,Apple Inc.,No Image
1495806,APPLE TV +,38,Apple Inc.,No Image
1501182,APPLE PRO DISPLAY XDR,9,Apple Inc.,No Image
1507606,APPLE NEWS+,35,Apple Inc.,No Image
1510739,TREAPPLE,"29, 30, 32, 35",ALTERFOOD DRINKYZ,No Image
1512594,APPLE,36,APPLE INC.,No Image
1513998,GRAPPLER,10,"Paragon 28, Inc.",No Image
1518317,APPLEWOOD VEGAN,29,Norseland Limited,No Image
