ID,brand,NIC,owner,image
018326206,PETROLHEADS YOURFUNCAR.DE,"12, 35, 36, 37, 39, 41",proWIN Fleet &amp; Facility GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45YH3IYEMMG3ZC6IHPMVO7KFTRBE
018326207,PETROLHEADS YOURFUNCAR.DE,"12, 35, 36, 37, 39, 41",proWIN Fleet &amp; Facility GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U453VRFBHOZ3YVHC3XRG7QKM7GHQC
018350030,SOURKRAUTS&nbsp; MADE FOR PETROLHEADS,"14, 16, 25, 35, 41",André Weber,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45ZFKJSLKC5WHXDYN3GA3HYCLOJK
018351566,PETROLUX LUBRICANTS,35,ERNESTO VIVAS MARTIN,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U454N3WGXNYN6RQ4C5PWOC3OLCJEE
018371147,ANGEL PETROL,"37, 43",AVALON PARK Kft.,No Image
018383887,ROMPETROL ajungi mai departe getting further rompetrol,"4, 35, 43",KMG International N.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U4565YBZ43QDFXJVVB52SQU6PZVM2
018383907,ROMPETROL Impreuna parcurgem drumul mai usor! Together we make the road easier! rompetrol,"4, 35, 43",KMG International N.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45QWU2PM7V3XUDRBDMFKWYKVJFUK
018384394,ROMPETROL&nbsp; Energia care te poarta mai departe Energy that takes you further rompetrol,"4, 35, 43",KMG International N.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U452KJ5623W33OY36EOAHVRMM66TM
018398901,"DISA CORPORACIÓN PETROLIFERA, S.A.","35, 36, 42","DISA HOLDING ENERGÉTICO, S.L.U",No Image
018432869,MP Montpetrol Group,"4, 6, 7, 37, 39, 40, 42",MONTPETROL spol. s r.o.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45RCPUYHWXJFIAHFXPKNP7QL7MDY
018437947,EDELMOTORS EM HOPE LOVE SPEED RIDE FAST RIDE HARD RIDE ON TURBO PETROL HEADS NITRO,"18, 25, 35",PRY Automobil- &amp; Vertriebs GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U457SMCNWU7Q4SLDQ4DU7VFZYUDW2
018610606,MAPETROL,"1, 3, 4, 7",SIMPOS d.o.o.,No Image
018770970,PROFESSIONAL DIAMOND TEXTURE GLOVES PRO-D GLOVES BY PETROL ENERGY,9,PETROL ENERGY SRL,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45ZEBB5RAXSFBM2PB63QOHLUDZUY
018783662,VENKON PETROL,"1, 4, 19",OÜ Venkon Group,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45YFUI3ZG56ZO4WJQPN637STAB54
018807862,ECO RESPONSIBLE SUBSTITUTION OF PALM-PETROL,"1, 2, 3, 4, 29",BIOSYNTHIS,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U455UI7OWSIRSR5V3OMMGURR2M74M
018809798,ROMPETROL. Energy for sustainable living / Energie pentru un viitor sustenabil,"4, 35, 43",KMG International N.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U457RUJKKYAWER4G7VKXJFJNQGS2Y
018809889,ROMPETROL Energy for life / Energie vie,"4, 35, 43",KMG International N.V.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45UU2PYTUGO3ZPVDGE5D4JW56DKO
018824628,FRANKFURT PETROLEUM,"1, 4, 35",Frankfurt Petroleum GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U455NBQHQLZPYGGXFWMPKJUCD2MLO
018869877,geoplin PETROL GROUP,"35, 36, 39, 40",GEOPLIN d.o.o. Ljubljana,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45YIB3TAIQQNH556PVXRJLBPUMFA
018869953,geoplin PETROL GROUP,"35, 36, 39, 40",GEOPLIN d.o.o. Ljubljana,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45SEE2TW5ZYXOT65K5XRCPKFNM2U
018877602,BEGHELLI: IL SOLE E' IL PETROLIO DELL'ITALIA,"9, 11, 35",BEGHELLI S.P.A.,No Image
018909861,API AMERICAN PETROLEUM INSTITUTE CERTIFIED DIESEL EXHAUST FLUID,1,American Petroleum Institute,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U455FATCUHS3CIWLY42OU5QSXUOZ6
018924454,Petroli Valle Padana,4,Petroli Valle Padana Di Federico Bocchio &amp; C. s.a.s.,No Image
018948129,PETROL VIBES,"6, 11, 35, 42","Reklamos principas, MB",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U45VIS7NPG4WAU4RN44H7XXI24PYG
018991711,PETROLHEAD REVOLUTION,"25, 35",David Bello Rodriguez,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPZHJDQXWIZJLOY4DXNLCCIW7U454B2YPWDVSGBNLLLH5YTHGNOKWM
