ID,brand,owner,image,NIC
8380490,APPLE,"APPLE INC., US (Združene države)",No Image,"9, 16"
9081100,APPLE,"APPLE INC., US (Združene države)",No Image,"35:38, 41, 42"
200371640,Apple Green,"Iskra Medical, d.o.o., SI (Slovenija)",https://www2.uil-sipo.si/I1/2/B8/BF16D.JPG,"5, 10, 37, 41, 42, 44"
201571345,Apple Tours Slovenija,"APL TURS d.o.o., SI (Slovenija)",https://www2.uil-sipo.si/I1/2/11/C03BC.JPG,"16, 39, 43"
202270850,FRUCTAL JUNIOR APPLE,"FRUCTAL Živilska industrija d.o.o., SI (Slovenija)",https://www2.uil-sipo.si/I1/2/82/C0E68.JPG,"29, 30, 32"
